time,massFlow,test,unit
"20760,03192","0,2400655757",2019_07_01,A1
"20820,03157","0,2501985676",2019_07_01,A1
"20880,03161","0,2435100076",2019_07_01,A1
"20940,03176","0,2516273729",2019_07_01,A1
"21000,03198","0,2422668982",2019_07_01,A1
"21060,03183","0,2461163954",2019_07_01,A1
"21120,03178","0,2499780797",2019_07_01,A1
"21180,03192","0,2465222119",2019_07_01,A1
"21240,03201","0,2470453926",2019_07_01,A1
"21300,03184","0,2433738617",2019_07_01,A1
"21360,03182","0,2471785001",2019_07_01,A1
"21420,03197","0,2495296916",2019_07_01,A1
"21480,03205","0,2449058909",2019_07_01,A1
"21540,03118","0,2466712628",2019_07_01,A1
"21600,03132","0,2473366497",2019_07_01,A1
"21660,03133","0,2469935053",2019_07_01,A1
"21720,03142","0,2496478905",2019_07_01,A1
"21780,03153","0,2434939806",2019_07_01,A1
"21840,03128","0,2499625202",2019_07_01,A1
"21900,03137","0,2461215708",2019_07_01,A1
"21960,03136","0,2459402656",2019_07_01,A1
"22020,03153","0,2493570509",2019_07_01,A1
"22080,03164","0,2457671408",2019_07_01,A1
"22140,03144","0,2492223575",2019_07_01,A1
"22200,03193","0,247233693",2019_07_01,A1
"22260,03311","0,2460355426",2019_07_01,A1
"22320,03223","0,2439840557",2019_07_01,A1
"22380,03226","0,254713702",2019_07_01,A1
"22440,03239","0,2450982981",2019_07_01,A1
"22500,03217","0,245679343",2019_07_01,A1
"22560,03229","0,247533865",2019_07_01,A1
"22620,03209","0,2458642542",2019_07_01,A1
"22680,03214","0,2477668572",2019_07_01,A1
"22740,03227","0,2466791261",2019_07_01,A1
"22800,0323","0,2508392795",2019_07_01,A1
"22860,03244","0,2507698961",2019_07_01,A1
"22920,03263","0,2514119937",2019_07_01,A1
"22980,03299","0,2507866743",2019_07_01,A1
"23040,0337","0,2495162022",2019_07_01,A1
"23100,03389","0,2511332077",2019_07_01,A1
"23160,034","0,2460774131",2019_07_01,A1
"23220,03501","0,2499728376",2019_07_01,A1
"23280,035","0,2411454269",2019_07_01,A1
"23340,03505","0,2485338484",2019_07_01,A1
"23400,03411","0,2480997343",2019_07_01,A1
"23460,03421","0,2518312161",2019_07_01,A1
"23520,03425","0,2424024765",2019_07_01,A1
"23580,03425","0,2456631824",2019_07_01,A1
"23640,03435","0,2483515415",2019_07_01,A1
"23700,0345","0,2456988258",2019_07_01,A1
"23760,0345","0,2495075209",2019_07_01,A1
"23820,03443","0,2513002055",2019_07_01,A1
"23880,03465","0,2494118599",2019_07_01,A1
"23940,03476","0,2548959421",2019_07_01,A1
"24000,03487","0,2553190043",2019_07_01,A1
"24060,03492","0,2565805615",2019_07_01,A1
"24120,03502","0,254530961",2019_07_01,A1
"24180,03502","0,2520011522",2019_07_01,A1
"24240,0342","0,2492474831",2019_07_01,A1
"24300,03429","0,2528962924",2019_07_01,A1
"24360,03434","0,2530831236",2019_07_01,A1
"24420,03448","0,2508991637",2019_07_01,A1
"24480,0347","0,251320907",2019_07_01,A1
"24540,0349","0,2439210997",2019_07_01,A1
"24600,03449","0,2528331528",2019_07_01,A1
"24660,03452","0,2499100151",2019_07_01,A1
"24720,03465","0,2545383401",2019_07_01,A1
"24780,03488","0,2582250633",2019_07_01,A1
"24840,03494","0,2504853671",2019_07_01,A1
"24900,03479","0,2518725857",2019_07_01,A1
"24960,0349","0,2566925333",2019_07_01,A1
"25020,03501","0,2604899261",2019_07_01,A1
"25080,03506","0,2566706631",2019_07_01,A1
"25140,0342","0,2552565993",2019_07_01,A1
"25200,03427","0,2560558782",2019_07_01,A1
"25260,0343","0,2568814346",2019_07_01,A1
"25320,03427","0,2493365498",2019_07_01,A1
"25380,03435","0,2484775036",2019_07_01,A1
"25440,03441","0,2487560725",2019_07_01,A1
"25500,03445","0,2523451146",2019_07_01,A1
"25560,03453","0,2446880742",2019_07_01,A1
"25620,03458","0,2468067743",2019_07_01,A1
"25680,03461","0,2416708782",2019_07_01,A1
"25740,03467","0,2445841993",2019_07_01,A1
"25800,03473","0,2429500149",2019_07_01,A1
"25860,03479","0,247511327",2019_07_01,A1
"25920,03482","0,2448262735",2019_07_01,A1
"25980,0348","0,2494755337",2019_07_01,A1
"26040,03486","0,2463353139",2019_07_01,A1
"26100,03499","0,2422437092",2019_07_01,A1
"26160,03502","0,2469327363",2019_07_01,A1
"26220,03504","0,2432064633",2019_07_01,A1
"26280,03612","0,2411540414",2019_07_01,A1
"26340,03519","0,2394235449",2019_07_01,A1
"26400,03517","0,2401627393",2019_07_01,A1
"26460,03526","0,2387775741",2019_07_01,A1
"26520,03774","0,2404379359",2019_07_01,A1
"26580,03732","0,2419664758",2019_07_01,A1
"26640,03737","0,2373415733",2019_07_01,A1
"26700,03744","0,2400398991",2019_07_01,A1
"26760,03746","0,2447130496",2019_07_01,A1
"26820,03749","0,2439510167",2019_07_01,A1
"26880,03754","0,2414069505",2019_07_01,A1
"26940,03771","0,239976459",2019_07_01,A1
"27000,03773","0,2398211308",2019_07_01,A1
"27060,03763","0,2435594408",2019_07_01,A1
"27120,03767","0,2433522086",2019_07_01,A1
"27180,03769","0,238897359",2019_07_01,A1
"27240,03772","0,2446763044",2019_07_01,A1
"27300,03784","0,2466706117",2019_07_01,A1
"27360,03739","0,2422177822",2019_07_01,A1
"27420,03743","0,2354653313",2019_07_01,A1
"27480,03751","0,2366978395",2019_07_01,A1
"27540,03753","0,2407446522",2019_07_01,A1
"27600,03762","0,2445588566",2019_07_01,A1
"27660,03734","0,2467574746",2019_07_01,A1
"27720,03745","0,2409408158",2019_07_01,A1
"27780,03743","0,2485201253",2019_07_01,A1
"27840,03734","0,2440058924",2019_07_01,A1
"27900,03743","0,2418178255",2019_07_01,A1
"27960,03749","0,2398744372",2019_07_01,A1
"28020,03753","0,2460496664",2019_07_01,A1
"28080,03728","0,2407532667",2019_07_01,A1
"28140,03769","0,245012871",2019_07_01,A1
"28200,03768","0,2461724063",2019_07_01,A1
"28260,0378","0,2451469801",2019_07_01,A1
"28320,03889","0,249172173",2019_07_01,A1
"28380,03893","0,2430131211",2019_07_01,A1
"28440,03895","0,2445194737",2019_07_01,A1
"28500,03909","0,2475023119",2019_07_01,A1
"28560,03912","0,245667473",2019_07_01,A1
"28620,03909","0,2444288712",2019_07_01,A1
"28680,03913","0,244587555",2019_07_01,A1
"28740,03811","0,2446046671",2019_07_01,A1
"28800,03854","0,2396509944",2019_07_01,A1
"28860,03821","0,2494915607",2019_07_01,A1
"28920,03824","0,2470549087",2019_07_01,A1
"28980,03832","0,2501181155",2019_07_01,A1
"29040,03849","0,2446305106",2019_07_01,A1
"29100,03839","0,2492192189",2019_07_01,A1
"29160,03848","0,2441404857",2019_07_01,A1
"29220,03846","0,2361856106",2019_07_01,A1
"29280,03854","0,2367684251",2019_07_01,A1
"29340,03966","0,245706088",2019_07_01,A1
"29400,03967","0,2404206568",2019_07_01,A1
"29460,03972","0,2482694032",2019_07_01,A1
"29520,03976","0,2438067238",2019_07_01,A1
"29580,04092","0,2476024137",2019_07_01,A1
"29640,04088","0,2459771276",2019_07_01,A1
"29700,0409","0,2498351391",2019_07_01,A1
"29760,04099","0,2426827149",2019_07_01,A1
"29820,04203","0,2442267809",2019_07_01,A1
"29880,04204","0,2471015873",2019_07_01,A1
"29940,04306","0,2482881515",2019_07_01,A1
"30000,04216","0,2488778776",2019_07_01,A1
"30060,04221","0,2444662675",2019_07_01,A1
"30120,04224","0,2440241398",2019_07_01,A1
"30180,04232","0,247889881",2019_07_01,A1
"30240,04237","0,2445962696",2019_07_01,A1
"30300,0424","0,2460219364",2019_07_01,A1
"30360,04244","0,2446068708",2019_07_01,A1
"30420,04251","0,2429227022",2019_07_01,A1
"30480,04252","0,2439215337",2019_07_01,A1
"30540,04255","0,2450204504",2019_07_01,A1
"30600,04267","0,2447807135",2019_07_01,A1
"30660,04267","0,2426835163",2019_07_01,A1
"30720,04271","0,2437042346",2019_07_01,A1
"30780,04384","0,247880415",2019_07_01,A1
"30840,04384","0,2491881833",2019_07_01,A1
"30900,04388","0,2492249619",2019_07_01,A1
"30960,04398","0,2541615725",2019_07_01,A1
"31020,04404","0,2540740084",2019_07_01,A1
"31080,04409","0,25246717",2019_07_01,A1
"31140,04409","0,2534981891",2019_07_01,A1
"31200,04372","0,2548540215",2019_07_01,A1
"31260,04377","0,2512064143",2019_07_01,A1
"31320,04384","0,2507530009",2019_07_01,A1
"31380,04388","0,2506132824",2019_07_01,A1
"31440,04492","0,2521337087",2019_07_01,A1
"31500,04501","0,2524923458",2019_07_01,A1
"31560,0467","0,253617156",2019_07_01,A1
"31620,04616","0,2580260783",2019_07_01,A1
"31680,04678","0,2556950541",2019_07_01,A1
"31740,04618","0,2658725876",2019_07_01,A1
"31800,04627","0,2581405376",2019_07_01,A1
"31860,04623","0,2548482118",2019_07_01,A1
"31920,0463","0,2554943829",2019_07_01,A1
"31980,04638","0,2625521478",2019_07_01,A1
"32040,04635","0,2510680814",2019_07_01,A1
"32100,04642","0,2444863012",2019_07_01,A1
"32160,04648","0,2526644855",2019_07_01,A1
"32220,04648","0,2439189794",2019_07_01,A1
"32280,04655","0,2454531789",2019_07_01,A1
"32340,0463","0,2474176026",2019_07_01,A1
"32400,04663","0,2454428782",2019_07_01,A1
"32460,04737","0,2478672095",2019_07_01,A1
"32520,04677","0,2477635183",2019_07_01,A1
"32580,0468","0,2453050629",2019_07_01,A1
"32640,04685","0,2505755856",2019_07_01,A1
"32700,04696","0,2482279501",2019_07_01,A1
"32760,04702","0,2498677607",2019_07_01,A1
"32820,047","0,2450278629",2019_07_01,A1
"32880,04704","0,2470276628",2019_07_01,A1
"32940,04609","0,248173041",2019_07_01,A1
"33000,04614","0,248813803",2019_07_01,A1
"33060,04618","0,2466984252",2019_07_01,A1
"33120,04632","0,2446527981",2019_07_01,A1
"33180,04693","0,2455950177",2019_07_01,A1
"33240,04795","0,2450130045",2019_07_01,A1
"33300,0481","0,2345912098",2019_07_01,A1
"33360,04817","0,2392635923",2019_07_01,A1
"33420,04711","0,2404212411",2019_07_01,A1
"33480,0473","0,240884521",2019_07_01,A1
"33540,04721","0,2403587025",2019_07_01,A1
"33600,04726","0,2412029571",2019_07_01,A1
"33660,04738","0,2384807243",2019_07_01,A1
"33720,04736","0,2419752406",2019_07_01,A1
"33780,04743","0,2422088839",2019_07_01,A1
"33840,0475","0,2399749732",2019_07_01,A1
"33900,04751","0,2327820641",2019_07_01,A1
"33960,04755","0,2384191874",2019_07_01,A1
"34020,04761","0,2381006011",2019_07_01,A1
"34080,04761","0,2414323767",2019_07_01,A1
"34140,04869","0,241190603",2019_07_01,A1
"34200,04881","0,2421850438",2019_07_01,A1
"34260,04981","0,2424201061",2019_07_01,A1
"34320,04991","0,2445922963",2019_07_01,A1
"34380,04999","0,2402486005",2019_07_01,A1
"34440,04994","0,2475610775",2019_07_01,A1
"34500,05005","0,2508487121",2019_07_01,A1
"34560,05007","0,2479242388",2019_07_01,A1
"34620,05114","0,252987112",2019_07_01,A1
"34680,0502","0,2492542111",2019_07_01,A1
"34740,05021","0,2554844662",2019_07_01,A1
"34800,05033","0,2544323951",2019_07_01,A1
"34860,05033","0,2498778109",2019_07_01,A1
"34920,0503","0,2494760346",2019_07_01,A1
"34980,05043","0,2474249149",2019_07_01,A1
