time,massFlow,signal,unit,anomaly
27960.03748795,0.239874437247309,2019_07_01,A1,0
28020.03752795,0.246049666384613,2019_07_01,A1,0
28080.03727795,0.240753266725763,2019_07_01,A1,0
28140.03768795,0.245012870961478,2019_07_01,A1,0
28200.03767795,0.246172406333013,2019_07_01,A1,0
28260.03779795,0.245146980059782,2019_07_01,A1,0
28320.03888795,0.249172173010108,2019_07_01,A1,0
28380.03892795,0.243013121134425,2019_07_01,A1,0
28440.03894795,0.24451947369707,2019_07_01,A1,0
28500.03908795,0.247502311850341,2019_07_01,A1,0
28560.03911795,0.245667472983993,2019_07_01,A1,0
28620.03908795,0.244428871172764,2019_07_01,A1,0
28680.03912795,0.244587554964699,2019_07_01,A1,0
28740.03810795,0.244604667116702,2019_07_01,A1,0
28800.03853795,0.239650994440517,2019_07_01,A1,0
28860.03820795,0.249491560700008,2019_07_01,A1,0
28920.03823795,0.247054908683142,2019_07_01,A1,0
28980.03831795,0.250118115478866,2019_07_01,A1,0
29040.03848795,0.24463051062615,2019_07_01,A1,0
29100.03838795,0.249219218880005,2019_07_01,A1,0
29160.03847795,0.244140485666916,2019_07_01,A1,0
29220.03845795,0.23618561056311,2019_07_01,A1,0
29280.03853795,0.23676842505938,2019_07_01,A1,0
29340.03965795,0.24570608797892,2019_07_01,A1,0
29400.03966795,0.240420656798665,2019_07_01,A1,0
29460.03971795,0.248269403245932,2019_07_01,A1,0
29520.03975795,0.243806723806305,2019_07_01,A1,0
29580.04091795,0.247602413715776,2019_07_01,A1,0
29640.04087795,0.245977127596164,2019_07_01,A1,0
29700.04089795,0.249835139105702,2019_07_01,A1,0
29760.04098795,0.242682714885517,2019_07_01,A1,0
29820.04202795,0.244226780939648,2019_07_01,A1,0
29880.04203795,0.247101587268673,2019_07_01,A1,0
29940.04305795,0.24828815147011,2019_07_01,A1,0
30000.04215795,0.248877877567453,2019_07_01,A1,0
30060.04220795,0.244466267460295,2019_07_01,A1,0
30120.04223795,0.244024139821995,2019_07_01,A1,0
30180.04231795,0.247889880996703,2019_07_01,A1,0
30240.04236795,0.244596269628673,2019_07_01,A1,0
30300.04239795,0.24602193637292,2019_07_01,A1,0
30360.04243795,0.244606870822902,2019_07_01,A1,0
30420.04250795,0.242922702238297,2019_07_01,A1,0
30480.04251795,0.243921533739876,2019_07_01,A1,0
30540.04254795,0.245020450385411,2019_07_01,A1,0
30600.04266795,0.244780713462702,2019_07_01,A1,0
30660.04266795,0.242683516256143,2019_07_01,A1,0
30720.04270795,0.243704234578482,2019_07_01,A1,0
30780.04383795,0.247880415042516,2019_07_01,A1,0
30840.04383795,0.249188183309012,2019_07_01,A1,0
30900.04387795,0.249224961882105,2019_07_01,A1,0
